ok  	github.com/domainry/domainry-integration/capability	2.584s
?   	github.com/domainry/domainry-integration/cmd/integration-server	[no test files]
ok  	github.com/domainry/domainry-integration/internal/adapter/integrationsdk	1.374s
ok  	github.com/domainry/domainry-integration/internal/application/integration	1.919s
ok  	github.com/domainry/domainry-integration/internal/architecture	1.625s
ok  	github.com/domainry/domainry-integration/internal/assembly/module	2.642s
ok  	github.com/domainry/domainry-integration/internal/assembly/saas	5.268s
?   	github.com/domainry/domainry-integration/internal/domain/integration/model	[no test files]
?   	github.com/domainry/domainry-integration/internal/domain/integration/repository	[no test files]
ok  	github.com/domainry/domainry-integration/internal/domain/integration/service	2.626s
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence	[no test files]
ok  	github.com/domainry/domainry-integration/internal/infrastructure/persistence/architecture	3.792s
ok  	github.com/domainry/domainry-integration/internal/infrastructure/persistence/database/integration	3.542s
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/database/migration	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/database/schema	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/mysql	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/postgres	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/sqlite	[no test files]
ok  	github.com/domainry/domainry-integration/internal/transport/http/module	4.112s
?   	github.com/domainry/domainry-integration/internal/transport/http/saas	[no test files]
ok  	github.com/domainry/domainry-integration/module	4.933s
