ok  	github.com/domainry/domainry-connectors/catalog	1.338s
ok  	github.com/domainry/domainry-connectors/internal/accounting/journal	0.669s
ok  	github.com/domainry/domainry-connectors/internal/adapter/connectorsdk	1.367s
ok  	github.com/domainry/domainry-connectors/internal/application/connector	(cached)
ok  	github.com/domainry/domainry-connectors/internal/architecture	(cached)
?   	github.com/domainry/domainry-connectors/internal/assembly/module	[no test files]
ok  	github.com/domainry/domainry-connectors/internal/databasesql	1.728s
?   	github.com/domainry/domainry-connectors/internal/domain/connector/model	[no test files]
?   	github.com/domainry/domainry-connectors/internal/domain/connector/repository	[no test files]
ok  	github.com/domainry/domainry-connectors/internal/domain/connector/service	(cached)
ok  	github.com/domainry/domainry-connectors/internal/feishu	2.400s
ok  	github.com/domainry/domainry-connectors/internal/feishucollaboration	2.723s
?   	github.com/domainry/domainry-connectors/internal/googlebigquery	[no test files]
?   	github.com/domainry/domainry-connectors/internal/infrastructure/catalog	[no test files]
ok  	github.com/domainry/domainry-connectors/internal/microsoftteams	3.139s
ok  	github.com/domainry/domainry-connectors/internal/mqtttelemetry	3.392s
ok  	github.com/domainry/domainry-connectors/internal/notificationmessage	(cached)
ok  	github.com/domainry/domainry-connectors/internal/oauth2	3.697s
?   	github.com/domainry/domainry-connectors/internal/releaseverify	[no test files]
ok  	github.com/domainry/domainry-connectors/internal/shopify	4.072s
?   	github.com/domainry/domainry-connectors/internal/snowflakesql	[no test files]
ok  	github.com/domainry/domainry-connectors/internal/tally	7.077s
?   	github.com/domainry/domainry-connectors/module	[no test files]
ok  	github.com/domainry/domainry-connectors/providers/accounting/freee	8.055s
ok  	github.com/domainry/domainry-connectors/providers/accounting/money_forward	8.160s
ok  	github.com/domainry/domainry-connectors/providers/accounting/quickbooks	8.782s
ok  	github.com/domainry/domainry-connectors/providers/ads_audience/meta_ads	9.432s
ok  	github.com/domainry/domainry-connectors/providers/analytics_warehouse/bigquery	9.433s
ok  	github.com/domainry/domainry-connectors/providers/analytics_warehouse/snowflake	11.148s
ok  	github.com/domainry/domainry-connectors/providers/app_review/google_play_console	11.108s
ok  	github.com/domainry/domainry-connectors/providers/appointment_scheduling/cal_com	11.187s
ok  	github.com/domainry/domainry-connectors/providers/appointment_scheduling/calendly	11.184s
ok  	github.com/domainry/domainry-connectors/providers/appointment_scheduling/feishu_calendar	8.588s
ok  	github.com/domainry/domainry-connectors/providers/appointment_scheduling/google_calendar	7.255s
ok  	github.com/domainry/domainry-connectors/providers/appointment_scheduling/microsoft_booking	7.294s
ok  	github.com/domainry/domainry-connectors/providers/bank_reconciliation/plaid	6.810s
ok  	github.com/domainry/domainry-connectors/providers/calendar/holidays_jp	5.865s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/dingtalk	5.780s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/discord	3.977s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/enterprise_wechat	3.979s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/feishu	3.975s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/google_workspace	4.086s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/line	3.635s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/line_works	3.627s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/microsoft_365	3.617s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/slack	3.581s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/teams	3.538s
ok  	github.com/domainry/domainry-connectors/providers/customer_feedback/delighted	3.663s
ok  	github.com/domainry/domainry-connectors/providers/customer_feedback/surveymonkey	3.663s
ok  	github.com/domainry/domainry-connectors/providers/customer_feedback/trustpilot	3.655s
