ok  	github.com/domainry/domainry-integration/capability	2.400s
ok  	github.com/domainry/domainry-integration/cmd/integration-server	5.634s
ok  	github.com/domainry/domainry-integration/internal/adapter/integrationsdk	4.414s
ok  	github.com/domainry/domainry-integration/internal/application/integration	5.738s
ok  	github.com/domainry/domainry-integration/internal/architecture	6.247s
ok  	github.com/domainry/domainry-integration/internal/assembly/module	5.218s
ok  	github.com/domainry/domainry-integration/internal/assembly/saas	9.841s
?   	github.com/domainry/domainry-integration/internal/domain/integration/model	[no test files]
?   	github.com/domainry/domainry-integration/internal/domain/integration/repository	[no test files]
ok  	github.com/domainry/domainry-integration/internal/domain/integration/service	5.364s
ok  	github.com/domainry/domainry-integration/internal/infrastructure/connectortransport	(cached)
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence	[no test files]
ok  	github.com/domainry/domainry-integration/internal/infrastructure/persistence/architecture	6.566s
ok  	github.com/domainry/domainry-integration/internal/infrastructure/persistence/database/integration	7.024s
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/database/migration	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/database/schema	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/mysql	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/postgres	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/sqlite	[no test files]
ok  	github.com/domainry/domainry-integration/internal/infrastructure/security	(cached)
ok  	github.com/domainry/domainry-integration/internal/transport/http/module	9.178s
?   	github.com/domainry/domainry-integration/internal/transport/http/saas	[no test files]
ok  	github.com/domainry/domainry-integration/module	13.069s
