ok  	github.com/domainry/domainry-agent/internal/assembly/web	74.935s
?   	github.com/domainry/domainry-tools/calculation	[no test files]
?   	github.com/domainry/domainry-tools/internal/adapter/recordtools	[no test files]
ok  	github.com/domainry/domainry-tools/internal/application/preferences	1.389s
ok  	github.com/domainry/domainry-tools/internal/application/tool	2.605s [no tests to run]
ok  	github.com/domainry/domainry-tools/internal/architecture	1.754s [no tests to run]
ok  	github.com/domainry/domainry-tools/internal/assembly/preferences	3.839s
?   	github.com/domainry/domainry-tools/internal/infrastructure/persistence/database/preferences	[no test files]
?   	github.com/domainry/domainry-tools/internal/transport/http/preferences	[no test files]
?   	github.com/domainry/domainry-tools/module	[no test files]
?   	github.com/domainry/domainry-tools/timeutil	[no test files]
?   	github.com/domainry/domainry-tools-sdk	[no test files]
?   	github.com/domainry/domainry-tools-sdk/modulehost	[no test files]
?   	github.com/domainry/domainry-tools-sdk/schema	[no test files]
ok  	github.com/domainry/domainry-integration/internal/infrastructure/persistence/database/integration	4.357s
ok  	github.com/domainry/domainry-integration/internal/assembly/saas	34.998s
