ok  	github.com/domainry/domainry-connectors/catalog	1.540s
ok  	github.com/domainry/domainry-connectors/internal/accounting/journal	1.547s
ok  	github.com/domainry/domainry-connectors/internal/adapter/connectorsdk	1.899s
ok  	github.com/domainry/domainry-connectors/internal/application/connector	2.267s
ok  	github.com/domainry/domainry-connectors/internal/architecture	2.730s
?   	github.com/domainry/domainry-connectors/internal/assembly/module	[no test files]
ok  	github.com/domainry/domainry-connectors/internal/databasesql	2.991s
?   	github.com/domainry/domainry-connectors/internal/domain/connector/model	[no test files]
?   	github.com/domainry/domainry-connectors/internal/domain/connector/repository	[no test files]
ok  	github.com/domainry/domainry-connectors/internal/domain/connector/service	3.273s
ok  	github.com/domainry/domainry-connectors/internal/feishu	3.553s
ok  	github.com/domainry/domainry-connectors/internal/feishucollaboration	3.853s
?   	github.com/domainry/domainry-connectors/internal/googlebigquery	[no test files]
?   	github.com/domainry/domainry-connectors/internal/infrastructure/catalog	[no test files]
ok  	github.com/domainry/domainry-connectors/internal/microsoftteams	4.272s
ok  	github.com/domainry/domainry-connectors/internal/mqtttelemetry	7.147s
ok  	github.com/domainry/domainry-connectors/internal/notificationmessage	7.475s
ok  	github.com/domainry/domainry-connectors/internal/oauth2	7.479s
?   	github.com/domainry/domainry-connectors/internal/releaseverify	[no test files]
ok  	github.com/domainry/domainry-connectors/internal/shopify	7.300s
?   	github.com/domainry/domainry-connectors/internal/snowflakesql	[no test files]
ok  	github.com/domainry/domainry-connectors/internal/tally	7.154s
?   	github.com/domainry/domainry-connectors/module	[no test files]
ok  	github.com/domainry/domainry-connectors/providers/accounting/freee	7.138s
ok  	github.com/domainry/domainry-connectors/providers/accounting/money_forward	7.618s
ok  	github.com/domainry/domainry-connectors/providers/accounting/quickbooks	7.547s
ok  	github.com/domainry/domainry-connectors/providers/ads_audience/meta_ads	7.597s
ok  	github.com/domainry/domainry-connectors/providers/analytics_warehouse/bigquery	7.501s
ok  	github.com/domainry/domainry-connectors/providers/analytics_warehouse/snowflake	4.966s
ok  	github.com/domainry/domainry-connectors/providers/app_review/google_play_console	4.964s
