ok  	github.com/domainry/domainry-connectors/catalog	0.899s
ok  	github.com/domainry/domainry-connectors/internal/accounting/journal	1.486s
ok  	github.com/domainry/domainry-connectors/internal/adapter/connectorsdk	1.133s
ok  	github.com/domainry/domainry-connectors/internal/application/connector	(cached)
ok  	github.com/domainry/domainry-connectors/internal/architecture	(cached)
?   	github.com/domainry/domainry-connectors/internal/assembly/module	[no test files]
ok  	github.com/domainry/domainry-connectors/internal/databasesql	(cached)
?   	github.com/domainry/domainry-connectors/internal/domain/connector/model	[no test files]
?   	github.com/domainry/domainry-connectors/internal/domain/connector/repository	[no test files]
ok  	github.com/domainry/domainry-connectors/internal/domain/connector/service	(cached)
ok  	github.com/domainry/domainry-connectors/internal/feishu	1.544s
ok  	github.com/domainry/domainry-connectors/internal/feishucollaboration	1.861s
?   	github.com/domainry/domainry-connectors/internal/googlebigquery	[no test files]
?   	github.com/domainry/domainry-connectors/internal/infrastructure/catalog	[no test files]
ok  	github.com/domainry/domainry-connectors/internal/mailcontent	2.234s
ok  	github.com/domainry/domainry-connectors/internal/mailpaging	2.546s
ok  	github.com/domainry/domainry-connectors/internal/microsoftteams	2.978s
ok  	github.com/domainry/domainry-connectors/internal/mqtttelemetry	3.254s
ok  	github.com/domainry/domainry-connectors/internal/notificationmessage	(cached)
ok  	github.com/domainry/domainry-connectors/internal/oauth2	3.460s
?   	github.com/domainry/domainry-connectors/internal/releaseverify	[no test files]
ok  	github.com/domainry/domainry-connectors/internal/shopify	3.665s
?   	github.com/domainry/domainry-connectors/internal/snowflakesql	[no test files]
ok  	github.com/domainry/domainry-connectors/internal/tally	5.401s
?   	github.com/domainry/domainry-connectors/module	[no test files]
ok  	github.com/domainry/domainry-connectors/providers/accounting/freee	8.118s
ok  	github.com/domainry/domainry-connectors/providers/accounting/money_forward	8.243s
ok  	github.com/domainry/domainry-connectors/providers/accounting/quickbooks	9.037s
ok  	github.com/domainry/domainry-connectors/providers/ads_audience/meta_ads	9.183s
ok  	github.com/domainry/domainry-connectors/providers/analytics_warehouse/bigquery	9.783s
ok  	github.com/domainry/domainry-connectors/providers/analytics_warehouse/snowflake	9.694s
ok  	github.com/domainry/domainry-connectors/providers/app_review/google_play_console	9.773s
ok  	github.com/domainry/domainry-connectors/providers/appointment_scheduling/cal_com	9.722s
ok  	github.com/domainry/domainry-connectors/providers/appointment_scheduling/calendly	9.724s
ok  	github.com/domainry/domainry-connectors/providers/appointment_scheduling/feishu_calendar	8.030s
ok  	github.com/domainry/domainry-connectors/providers/appointment_scheduling/google_calendar	4.796s
ok  	github.com/domainry/domainry-connectors/providers/appointment_scheduling/microsoft_booking	4.997s
ok  	github.com/domainry/domainry-connectors/providers/bank_reconciliation/plaid	4.152s
ok  	github.com/domainry/domainry-connectors/providers/calendar/holidays_jp	4.439s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/dingtalk	3.831s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/discord	3.867s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/enterprise_wechat	3.844s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/feishu	3.721s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/google_workspace	3.784s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/line	3.407s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/line_works	3.393s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/microsoft_365	3.441s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/slack	3.526s
ok  	github.com/domainry/domainry-connectors/providers/collaboration/teams	3.418s
ok  	github.com/domainry/domainry-connectors/providers/customer_feedback/delighted	3.462s
ok  	github.com/domainry/domainry-connectors/providers/customer_feedback/surveymonkey	3.437s
ok  	github.com/domainry/domainry-connectors/providers/customer_feedback/trustpilot	3.448s
ok  	github.com/domainry/domainry-connectors/providers/customer_feedback/typeform	3.463s
ok  	github.com/domainry/domainry-connectors/providers/delivery_operations/asana	3.406s
ok  	github.com/domainry/domainry-connectors/providers/delivery_operations/jira	3.789s
ok  	github.com/domainry/domainry-connectors/providers/delivery_operations/linear	3.761s
ok  	github.com/domainry/domainry-connectors/providers/delivery_operations/monday	3.738s
ok  	github.com/domainry/domainry-connectors/providers/delivery_operations/netsuite	3.755s
ok  	github.com/domainry/domainry-connectors/providers/delivery_operations/odoo	3.776s
ok  	github.com/domainry/domainry-connectors/providers/delivery_operations/sap_business_one	3.743s
ok  	github.com/domainry/domainry-connectors/providers/document_generation/pdf	3.800s
ok  	github.com/domainry/domainry-connectors/providers/ecommerce/shopify	3.622s
ok  	github.com/domainry/domainry-connectors/providers/email/smtp	3.678s
ok  	github.com/domainry/domainry-connectors/providers/esign/adobe_sign	3.728s
ok  	github.com/domainry/domainry-connectors/providers/esign/docusign	3.315s
ok  	github.com/domainry/domainry-connectors/providers/esign/fadada	3.400s
ok  	github.com/domainry/domainry-connectors/providers/esign/signnow	3.388s
ok  	github.com/domainry/domainry-connectors/providers/event_webinar/zoom_webinar	3.418s
ok  	github.com/domainry/domainry-connectors/providers/expense_ocr/llm_proxy	3.380s
ok  	github.com/domainry/domainry-connectors/providers/external_database/bigquery	3.418s
ok  	github.com/domainry/domainry-connectors/providers/external_database/mysql	3.421s
ok  	github.com/domainry/domainry-connectors/providers/external_database/postgres	3.508s
ok  	github.com/domainry/domainry-connectors/providers/external_database/snowflake	3.713s
ok  	github.com/domainry/domainry-connectors/providers/external_database/sqlserver	3.706s
ok  	github.com/domainry/domainry-connectors/providers/feishu_collaboration/feishu	3.882s
ok  	github.com/domainry/domainry-connectors/providers/file_storage/local	3.860s
ok  	github.com/domainry/domainry-connectors/providers/file_storage/s3	3.865s
ok  	github.com/domainry/domainry-connectors/providers/google_workspace/google	3.688s
ok  	github.com/domainry/domainry-connectors/providers/help_center/confluence	3.705s
ok  	github.com/domainry/domainry-connectors/providers/help_center/gitbook	3.848s
ok  	github.com/domainry/domainry-connectors/providers/help_center/help_scout_docs	3.849s
ok  	github.com/domainry/domainry-connectors/providers/help_center/intercom_articles	3.772s
ok  	github.com/domainry/domainry-connectors/providers/help_center/notion_docs	3.570s
ok  	github.com/domainry/domainry-connectors/providers/help_center/readme	3.606s
ok  	github.com/domainry/domainry-connectors/providers/help_center/zendesk_guide	3.465s
ok  	github.com/domainry/domainry-connectors/providers/iot_telemetry/aws_iot	3.538s
ok  	github.com/domainry/domainry-connectors/providers/iot_telemetry/datadog_metrics	3.469s
ok  	github.com/domainry/domainry-connectors/providers/iot_telemetry/mqtt	3.512s
