ok  	github.com/domainry/domainry-integration/capability	1.829s
ok  	github.com/domainry/domainry-integration/cmd/integration-server	4.653s
ok  	github.com/domainry/domainry-integration/internal/adapter/integrationsdk	4.129s
ok  	github.com/domainry/domainry-integration/internal/application/integration	3.773s
ok  	github.com/domainry/domainry-integration/internal/architecture	4.986s
ok  	github.com/domainry/domainry-integration/internal/assembly/module	4.783s
ok  	github.com/domainry/domainry-integration/internal/assembly/saas	14.819s
?   	github.com/domainry/domainry-integration/internal/domain/integration/model	[no test files]
?   	github.com/domainry/domainry-integration/internal/domain/integration/repository	[no test files]
ok  	github.com/domainry/domainry-integration/internal/domain/integration/service	5.716s
ok  	github.com/domainry/domainry-integration/internal/infrastructure/connectortransport	(cached)
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence	[no test files]
ok  	github.com/domainry/domainry-integration/internal/infrastructure/persistence/architecture	6.761s
ok  	github.com/domainry/domainry-integration/internal/infrastructure/persistence/database/integration	7.321s
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/database/migration	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/database/schema	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/mysql	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/postgres	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/sqlite	[no test files]
ok  	github.com/domainry/domainry-integration/internal/infrastructure/security	(cached)
ok  	github.com/domainry/domainry-integration/internal/transport/http/module	7.852s
?   	github.com/domainry/domainry-integration/internal/transport/http/saas	[no test files]
ok  	github.com/domainry/domainry-integration/module	12.020s
