ok  	github.com/domainry/domainry-integration/capability	1.474s
ok  	github.com/domainry/domainry-integration/cmd/integration-server	4.224s
ok  	github.com/domainry/domainry-integration/internal/adapter/integrationsdk	(cached)
ok  	github.com/domainry/domainry-integration/internal/application/integration	(cached)
ok  	github.com/domainry/domainry-integration/internal/architecture	1.558s
ok  	github.com/domainry/domainry-integration/internal/assembly/module	1.132s
ok  	github.com/domainry/domainry-integration/internal/assembly/saas	15.202s
?   	github.com/domainry/domainry-integration/internal/domain/integration/model	[no test files]
?   	github.com/domainry/domainry-integration/internal/domain/integration/repository	[no test files]
ok  	github.com/domainry/domainry-integration/internal/domain/integration/service	(cached)
ok  	github.com/domainry/domainry-integration/internal/infrastructure/connectortransport	1.204s
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence	[no test files]
ok  	github.com/domainry/domainry-integration/internal/infrastructure/persistence/architecture	1.942s
ok  	github.com/domainry/domainry-integration/internal/infrastructure/persistence/database/integration	2.933s
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/database/migration	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/database/schema	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/mysql	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/postgres	[no test files]
?   	github.com/domainry/domainry-integration/internal/infrastructure/persistence/sqlite	[no test files]
ok  	github.com/domainry/domainry-integration/internal/infrastructure/security	(cached)
ok  	github.com/domainry/domainry-integration/internal/transport/http/module	3.343s
?   	github.com/domainry/domainry-integration/internal/transport/http/saas	[no test files]
ok  	github.com/domainry/domainry-integration/module	6.088s
