ok  	github.com/domainry/domainry-agent-sdk	1.751s
?   	github.com/domainry/domainry-agent-sdk/browsergateway	[no test files]
ok  	github.com/domainry/domainry-agent-sdk/businessrpc	2.530s
?   	github.com/domainry/domainry-agent-sdk/contracttest	[no test files]
?   	github.com/domainry/domainry-agent-sdk/lifecycle	[no test files]
?   	github.com/domainry/domainry-agent-sdk/modulehost	[no test files]
ok  	github.com/domainry/domainry-agent-sdk/persistence	2.062s
?   	github.com/domainry/domainry-agent-sdk/saashost	[no test files]
?   	github.com/domainry/domainry-agent-sdk/state	[no test files]
?   	github.com/domainry/domainry-tools-sdk	[no test files]
?   	github.com/domainry/domainry-tools-sdk/modulehost	[no test files]
?   	github.com/domainry/domainry-tools-sdk/schema	[no test files]
