ok  	github.com/domainry/domainry-agent/internal/application	3.466s
ok  	github.com/domainry/domainry-agent/internal/infrastructure/persistence/database/agent	3.447s
ok  	github.com/domainry/domainry-agent/internal/transport/http/module	1.538s
ok  	github.com/domainry/domainry-agent/module	2.038s
ok  	github.com/domainry/domainry-agent/remote	3.167s
ok  	github.com/domainry/domainry-agent/server	4.322s
ok  	github.com/domainry/domainry-agent/internal/capability	3.405s
ok  	github.com/domainry/domainry-agent-sdk	(cached)
?   	github.com/domainry/domainry-agent-sdk/browsergateway	[no test files]
ok  	github.com/domainry/domainry-agent-sdk/businessrpc	(cached)
?   	github.com/domainry/domainry-agent-sdk/contracttest	[no test files]
?   	github.com/domainry/domainry-agent-sdk/lifecycle	[no test files]
?   	github.com/domainry/domainry-agent-sdk/modulehost	[no test files]
ok  	github.com/domainry/domainry-agent-sdk/persistence	(cached)
?   	github.com/domainry/domainry-agent-sdk/saashost	[no test files]
?   	github.com/domainry/domainry-agent-sdk/state	[no test files]
ok  	github.com/domainry/domainry-tools-sdk	4.471s
?   	github.com/domainry/domainry-tools-sdk/modulehost	[no test files]
?   	github.com/domainry/domainry-tools-sdk/schema	[no test files]
?   	github.com/domainry/domainry-tools/calculation	[no test files]
?   	github.com/domainry/domainry-tools/internal/adapter/accounttools	[no test files]
ok  	github.com/domainry/domainry-tools/internal/adapter/analysistools	2.312s
?   	github.com/domainry/domainry-tools/internal/adapter/calendartools	[no test files]
?   	github.com/domainry/domainry-tools/internal/adapter/mailtools	[no test files]
?   	github.com/domainry/domainry-tools/internal/adapter/recordtools	[no test files]
ok  	github.com/domainry/domainry-tools/internal/adapter/reporttools	3.759s
ok  	github.com/domainry/domainry-tools/internal/adapter/scheduletools	3.279s
?   	github.com/domainry/domainry-tools/internal/adapter/webtools	[no test files]
ok  	github.com/domainry/domainry-tools/internal/application/preferences	(cached)
ok  	github.com/domainry/domainry-tools/internal/application/tool	3.587s
ok  	github.com/domainry/domainry-tools/internal/architecture	(cached)
ok  	github.com/domainry/domainry-tools/internal/assembly/preferences	3.655s
?   	github.com/domainry/domainry-tools/internal/infrastructure/persistence/database/preferences	[no test files]
?   	github.com/domainry/domainry-tools/internal/transport/http/preferences	[no test files]
ok  	github.com/domainry/domainry-tools/module	3.396s
?   	github.com/domainry/domainry-tools/timeutil	[no test files]
