ok  	github.com/domainry/domainry-agent/internal/application	1.023s
ok  	github.com/domainry/domainry-agent/internal/execution	0.478s
ok  	github.com/domainry/domainry-agent/internal/infrastructure/persistence/database/agent	3.327s
ok  	github.com/domainry/domainry-agent/internal/transport/http/module	2.467s
ok  	github.com/domainry/domainry-agent/module	1.296s
ok  	github.com/domainry/domainry-agent-sdk	1.655s
?   	github.com/domainry/domainry-agent-sdk/browsergateway	[no test files]
ok  	github.com/domainry/domainry-agent-sdk/businessrpc	1.441s
?   	github.com/domainry/domainry-agent-sdk/contracttest	[no test files]
?   	github.com/domainry/domainry-agent-sdk/lifecycle	[no test files]
?   	github.com/domainry/domainry-agent-sdk/modulehost	[no test files]
ok  	github.com/domainry/domainry-agent-sdk/persistence	1.993s
?   	github.com/domainry/domainry-agent-sdk/saashost	[no test files]
?   	github.com/domainry/domainry-agent-sdk/state	[no test files]
