ok  	github.com/domainry/domainry-agent/internal/application	0.569s
ok  	github.com/domainry/domainry-agent/internal/infrastructure/persistence/database/agent	3.624s
ok  	github.com/domainry/domainry-agent/internal/capability	1.223s
ok  	github.com/domainry/domainry-agent/internal/transport/http/module	2.305s
ok  	github.com/domainry/domainry-agent/remote	2.760s
ok  	github.com/domainry/domainry-agent/server	1.753s
ok  	github.com/domainry/domainry-agent-sdk	2.623s
?   	github.com/domainry/domainry-agent-sdk/browsergateway	[no test files]
ok  	github.com/domainry/domainry-agent-sdk/businessrpc	(cached)
?   	github.com/domainry/domainry-agent-sdk/contracttest	[no test files]
?   	github.com/domainry/domainry-agent-sdk/lifecycle	[no test files]
?   	github.com/domainry/domainry-agent-sdk/modulehost	[no test files]
ok  	github.com/domainry/domainry-agent-sdk/persistence	(cached)
?   	github.com/domainry/domainry-agent-sdk/saashost	[no test files]
?   	github.com/domainry/domainry-agent-sdk/state	[no test files]
