ok  	github.com/domainry/domainry-agent-sdk	0.683s
?   	github.com/domainry/domainry-agent-sdk/browsergateway	[no test files]
ok  	github.com/domainry/domainry-agent-sdk/businessrpc	(cached)
?   	github.com/domainry/domainry-agent-sdk/contracttest	[no test files]
?   	github.com/domainry/domainry-agent-sdk/lifecycle	[no test files]
?   	github.com/domainry/domainry-agent-sdk/modulehost	[no test files]
ok  	github.com/domainry/domainry-agent-sdk/persistence	(cached)
?   	github.com/domainry/domainry-agent-sdk/saashost	[no test files]
?   	github.com/domainry/domainry-agent-sdk/state	[no test files]
ok  	github.com/domainry/domainry-agent/internal/transport/http/module	0.489s
ok  	github.com/domainry/domainry-agent/internal/capability	1.478s
ok  	github.com/domainry/domainry-agent/server	1.544s
ok  	github.com/domainry/domainry-agent/remote	1.790s
