File: c05-business-union-owner-accepted-race.test
Type: cpu
Time: 2026-09-14 19:21:26 CST
Duration: 164.60s, Total samples = 286.78s (174.22%)
Showing nodes accounting for 44.07s, 15.37% of 286.78s total
Dropped 1796 nodes (cum <= 1.43s)
Showing top 40 nodes out of 358
      flat  flat%   sum%        cum   cum%
         0     0%     0%     90.20s 31.45%  runtime._System
         0     0%     0%     58.01s 20.23%  encoding/json.Marshal
     0.19s 0.066% 0.066%     57.83s 20.17%  encoding/json.(*encodeState).reflectValue
         0     0% 0.066%     57.81s 20.16%  encoding/json.(*encodeState).marshal
     0.05s 0.017% 0.084%     57.04s 19.89%  encoding/json.sliceEncoder.encode
     0.14s 0.049%  0.13%     57.02s 19.88%  encoding/json.arrayEncoder.encode
     2.29s   0.8%  0.93%     56.65s 19.75%  encoding/json.structEncoder.encode
     0.01s 0.0035%  0.93%     54.34s 18.95%  github.com/domainry/domainry-runtime/runtime/domain/appschema/service.SchemaSnapshotHash
         0     0%  0.93%     49.38s 17.22%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).worker
         0     0%  0.93%     46.62s 16.26%  net/http.HandlerFunc.ServeHTTP
         0     0%  0.93%     46.20s 16.11%  runtime.systemstack
         0     0%  0.93%     43.15s 15.05%  database/sql.withLock
         0     0%  0.93%     42.43s 14.80%  github.com/domainry/domainry-runtime/runtime/application/appschema.(*ApplicationSchemaQueryApplicationService).ForPrincipal
         0     0%  0.93%     42.43s 14.80%  github.com/domainry/domainry-runtime/runtime/bootstrap/composition.(*RecordSchemaSnapshotProvider).SchemaForPrincipal
         0     0%  0.93%     40.42s 14.09%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).RevalidateBusiness
         0     0%  0.93%     39.17s 13.66%  runtime.wakep
         0     0%  0.93%     38.94s 13.58%  runtime.semawakeup
    38.93s 13.57% 14.51%     38.93s 13.57%  runtime.pthread_cond_signal
     0.02s 0.007% 14.52%     38.90s 13.56%  runtime.startm
     0.02s 0.007% 14.52%     38.85s 13.55%  runtime.notewakeup
         0     0% 14.52%     36.40s 12.69%  net/http.(*ServeMux).ServeHTTP
     2.41s  0.84% 15.36%     36.34s 12.67%  encoding/json.mapEncoder.encode
         0     0% 15.36%     35.79s 12.48%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).revalidateBusinessSnapshot
         0     0% 15.36%     35.04s 12.22%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).authorizeStoredToolResult
         0     0% 15.36%     35.04s 12.22%  github.com/domainry/domainry-agent/internal/application.(*extensionInteractionHost).AuthorizeConversationToolResult
         0     0% 15.36%     35.04s 12.22%  github.com/domainry/domainry-tools/internal/application/tool.(*Combined).AuthorizeConversationToolResult
         0     0% 15.36%     35.03s 12.21%  github.com/domainry/domainry-agent/internal/application.(*assemblyConfirmationHost).AuthorizeConversationToolResult
         0     0% 15.36%     35.03s 12.21%  github.com/domainry/domainry-agent/internal/application.(*businessConversationHost).AuthorizeConversationToolResult
         0     0% 15.36%     35.03s 12.21%  github.com/domainry/domainry-agent/internal/application.(*collaborationToolHost).AuthorizeConversationToolResult
         0     0% 15.36%     34.92s 12.18%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).run
         0     0% 15.36%     34.53s 12.04%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).objects
         0     0% 15.36%     33.38s 11.64%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).execute
         0     0% 15.36%     32.84s 11.45%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).generateConversationExecution
         0     0% 15.36%     32.36s 11.28%  github.com/domainry/domainry-runtime/runtime/bootstrap/composition.newRuntimeServicesState.func1
         0     0% 15.36%     32.36s 11.28%  github.com/domainry/domainry-runtime/runtime/bootstrap/composition.recordSchemaSnapshot
         0     0% 15.36%     32.36s 11.28%  github.com/domainry/domainry-runtime/runtime/domain/appschema/service.BuildSchemaSnapshot
         0     0% 15.36%     31.46s 10.97%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).record
         0     0% 15.36%     29.48s 10.28%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withActionAuthorization.func10
     0.01s 0.0035% 15.37%     29.20s 10.18%  modernc.org/sqlite/lib.Xsqlite3_step
         0     0% 15.37%     28.44s  9.92%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withAuth.func11.1
