File: c05-business-union-owner-observer-final-race.test
Type: cpu
Time: 2026-09-14 19:33:43 CST
Duration: 185.19s, Total samples = 332.35s (179.47%)
Showing nodes accounting for 290.95s, 87.54% of 332.35s total
Dropped 1841 nodes (cum <= 1.66s)
Showing top 50 nodes out of 359
      flat  flat%   sum%        cum   cum%
    45.30s 13.63% 13.63%     45.30s 13.63%  runtime.pthread_cond_signal
       30s  9.03% 22.66%        30s  9.03%  __tsan::MemoryAccessRangeT
    24.49s  7.37% 30.03%     24.49s  7.37%  __tsan_read
    23.13s  6.96% 36.99%     23.13s  6.96%  syscall.rawsyscalln
    20.29s  6.11% 43.09%     20.29s  6.11%  __tsan::MemoryRangeSet
    16.91s  5.09% 48.18%     16.91s  5.09%  racecall
    12.06s  3.63% 51.81%     12.06s  3.63%  runtime.findObject
    10.92s  3.29% 55.09%     22.53s  6.78%  runtime.checkptrBase
    10.72s  3.23% 58.32%     10.72s  3.23%  racecalladdr
     8.81s  2.65% 60.97%      8.81s  2.65%  runtime.usleep
     7.60s  2.29% 63.26%      7.60s  2.29%  runtime.pthread_cond_wait
     7.20s  2.17% 65.42%      7.20s  2.17%  runtime.madvise
     6.35s  1.91% 67.33%      6.35s  1.91%  runtime._ExternalCode
     6.21s  1.87% 69.20%      6.21s  1.87%  __tsan_write
     4.93s  1.48% 70.68%      4.93s  1.48%  __tsan_func_enter
     4.08s  1.23% 71.91%      9.82s  2.95%  encoding/json.appendString[go.shape.string]
     3.20s  0.96% 72.87%      3.20s  0.96%  __tsan_read_pc
     3.09s  0.93% 73.80%      9.27s  2.79%  runtime.slicecopy
     2.88s  0.87% 74.67%      2.88s  0.87%  runtime.raceread
     2.69s  0.81% 75.48%      2.69s  0.81%  __tsan::MetaMap::FreeRange
     2.67s   0.8% 76.28%     42.62s 12.82%  encoding/json.mapEncoder.encode
     2.66s   0.8% 77.08%     22.75s  6.85%  runtime.checkptrAlignment
     2.61s  0.79% 77.87%     66.47s 20.00%  encoding/json.structEncoder.encode
     2.60s  0.78% 78.65%      2.60s  0.78%  runtime.memclrNoHeapPointers
     2.52s  0.76% 79.41%     20.09s  6.04%  runtime.checkptrStraddles
     2.07s  0.62% 80.03%      2.95s  0.89%  golang.org/x/crypto/blowfish.encryptBlock
     2.02s  0.61% 80.64%      2.02s  0.61%  racefuncenter
     1.84s  0.55% 81.19%      2.88s  0.87%  runtime.racewriterangepc
     1.67s   0.5% 81.70%      2.44s  0.73%  runtime.racereadrangepc
     1.60s  0.48% 82.18%      6.56s  1.97%  runtime.checkptrArithmetic
     1.52s  0.46% 82.64%      7.14s  2.15%  bytes.(*Buffer).Write
     1.51s  0.45% 83.09%      1.72s  0.52%  runtime.tryDeferToSpanScan
     1.38s  0.42% 83.51%     13.27s  3.99%  encoding/json.stringEncoder
     1.36s  0.41% 83.91%      2.53s  0.76%  runtime.scanObjectsSmall
     1.29s  0.39% 84.30%      3.66s  1.10%  bytes.(*Buffer).WriteByte
     1.27s  0.38% 84.68%      3.67s  1.10%  encoding/json.isEmptyValue
     1.27s  0.38% 85.07%      5.12s  1.54%  reflect.copyVal
     1.08s  0.32% 85.39%      2.47s  0.74%  runtime.scanObject
     0.99s   0.3% 85.69%      6.01s  1.81%  reflect.Value.Field
     0.76s  0.23% 85.92%      1.80s  0.54%  reflect.typedmemmove
     0.74s  0.22% 86.14%      4.18s  1.26%  reflect.(*MapIter).Next
     0.74s  0.22% 86.36%      4.16s  1.25%  runtime.mallocgcSmallScanNoHeader
     0.71s  0.21% 86.58%      1.79s  0.54%  slices.pdqsortCmpFunc[go.shape.struct { encoding/json.v reflect.Value; encoding/json.ks string }]
     0.66s   0.2% 86.78%      3.12s  0.94%  bytes.(*Buffer).WriteString
     0.60s  0.18% 86.96%      4.28s  1.29%  reflect.(*MapIter).Value
     0.52s  0.16% 87.11%      2.05s  0.62%  reflect.Value.lenNonSlice
     0.42s  0.13% 87.24%      2.23s  0.67%  reflect.unsafe_New
     0.37s  0.11% 87.35%      4.17s  1.25%  reflect.(*MapIter).Key
     0.32s 0.096% 87.45%      8.35s  2.51%  encoding/json.interfaceEncoder
     0.32s 0.096% 87.54%         2s   0.6%  reflect.Value.Elem
