ok  	github.com/domainry/domainry-agent/internal/application	0.583s
ok  	github.com/domainry/domainry-agent/internal/infrastructure/persistence/database/agent	(cached)
ok  	github.com/domainry/domainry-agent/remote	(cached)
ok  	github.com/domainry/domainry-agent/internal/capability	(cached)
ok  	github.com/domainry/domainry-agent/internal/transport/http/module	(cached)
ok  	github.com/domainry/domainry-agent/server	1.015s
ok  	github.com/domainry/domainry-agent-sdk	(cached)
?   	github.com/domainry/domainry-agent-sdk/browsergateway	[no test files]
ok  	github.com/domainry/domainry-agent-sdk/businessrpc	(cached)
?   	github.com/domainry/domainry-agent-sdk/contracttest	[no test files]
?   	github.com/domainry/domainry-agent-sdk/lifecycle	[no test files]
?   	github.com/domainry/domainry-agent-sdk/modulehost	[no test files]
ok  	github.com/domainry/domainry-agent-sdk/persistence	(cached)
?   	github.com/domainry/domainry-agent-sdk/saashost	[no test files]
?   	github.com/domainry/domainry-agent-sdk/state	[no test files]
