ok  	github.com/domainry/domainry-agent/internal/application	3.314s
ok  	github.com/domainry/domainry-agent/module	4.153s
ok  	github.com/domainry/domainry-agent-sdk	3.576s
?   	github.com/domainry/domainry-agent-sdk/browsergateway	[no test files]
ok  	github.com/domainry/domainry-agent-sdk/businessrpc	3.777s
?   	github.com/domainry/domainry-agent-sdk/contracttest	[no test files]
?   	github.com/domainry/domainry-agent-sdk/lifecycle	[no test files]
?   	github.com/domainry/domainry-agent-sdk/modulehost	[no test files]
ok  	github.com/domainry/domainry-agent-sdk/persistence	4.001s
?   	github.com/domainry/domainry-agent-sdk/saashost	[no test files]
?   	github.com/domainry/domainry-agent-sdk/state	[no test files]
ok  	github.com/domainry/domainry-knowledge/artifact	3.439s
?   	github.com/domainry/domainry-knowledge/contract	[no test files]
ok  	github.com/domainry/domainry-knowledge/extraction	3.326s
ok  	github.com/domainry/domainry-knowledge/internal/application/knowledge	3.219s
ok  	github.com/domainry/domainry-knowledge/internal/architecture	4.119s
?   	github.com/domainry/domainry-knowledge/internal/assembly/module	[no test files]
ok  	github.com/domainry/domainry-knowledge/internal/infrastructure/artifactstorage	4.331s
ok  	github.com/domainry/domainry-knowledge/internal/infrastructure/attachmentstorage	1.865s
ok  	github.com/domainry/domainry-knowledge/internal/infrastructure/connectortransport	1.758s
ok  	github.com/domainry/domainry-knowledge/internal/infrastructure/documentstorage	1.888s
ok  	github.com/domainry/domainry-knowledge/internal/infrastructure/persistence/database/knowledge	1.976s
ok  	github.com/domainry/domainry-knowledge/internal/infrastructure/persistence/database/record	1.898s
ok  	github.com/domainry/domainry-knowledge/internal/infrastructure/provider	1.839s
?   	github.com/domainry/domainry-knowledge/module	[no test files]
