File: c05-model-input-source-runtime-final-race.test
Type: cpu
Time: 2026-09-14 18:56:44 CST
Duration: 475.41s, Total samples = 874.27s (183.90%)
Showing nodes accounting for 432.21s, 49.44% of 874.27s total
Dropped 2211 nodes (cum <= 4.37s)
Showing top 50 nodes out of 312
      flat  flat%   sum%        cum   cum%
     0.02s 0.0023% 0.0023%    300.49s 34.37%  runtime.wakep
         0     0% 0.0023%    300.03s 34.32%  runtime.semawakeup
   299.91s 34.30% 34.31%    299.92s 34.31%  runtime.pthread_cond_signal
     0.01s 0.0011% 34.31%    299.74s 34.28%  runtime.notewakeup
     0.04s 0.0046% 34.31%    299.74s 34.28%  runtime.startm
     0.05s 0.0057% 34.32%    293.54s 33.58%  runtime.systemstack
     0.05s 0.0057% 34.32%    201.42s 23.04%  database/sql.withLock
         0     0% 34.32%    183.82s 21.03%  runtime.newproc.func1
         0     0% 34.32%    166.83s 19.08%  runtime._System
     0.02s 0.0023% 34.33%    165.49s 18.93%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).principal
         0     0% 34.33%    165.46s 18.93%  github.com/domainry/domainry-identity-sdk/application.principals.Resolve
     0.02s 0.0023% 34.33%    165.46s 18.93%  github.com/domainry/domainry-identity/internal/adapter/identitysdk.sdkPrincipalResolver.Resolve
         0     0% 34.33%    155.50s 17.79%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).run
         0     0% 34.33%    154.21s 17.64%  github.com/domainry/domainry-identity/internal/application/identity.(*IdentityEffectiveAccessApplicationService).ResolvePrincipalAccess
     0.02s 0.0023% 34.33%    142.03s 16.25%  modernc.org/sqlite/lib.Xsqlite3_step
     0.03s 0.0034% 34.33%    138.52s 15.84%  modernc.org/sqlite.(*conn).step
   131.34s 15.02% 49.36%    131.34s 15.02%  syscall.rawsyscalln
         0     0% 49.36%    131.34s 15.02%  syscall.syscalln
     0.04s 0.0046% 49.36%    129.93s 14.86%  modernc.org/sqlite/lib._sqlite3Step
     0.57s 0.065% 49.43%    129.75s 14.84%  modernc.org/sqlite/lib._sqlite3VdbeExec
         0     0% 49.43%    124.02s 14.19%  net/http.HandlerFunc.ServeHTTP
         0     0% 49.43%    119.92s 13.72%  net/http.(*ServeMux).ServeHTTP
         0     0% 49.43%    116.40s 13.31%  syscall.syscall
         0     0% 49.43%    113.44s 12.98%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).worker
         0     0% 49.43%    112.57s 12.88%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).record
         0     0% 49.43%    112.27s 12.84%  modernc.org/sqlite/lib._unixShmLock
         0     0% 49.43%    112.23s 12.84%  modernc.org/sqlite/lib._unixShmSystemLock
     0.01s 0.0011% 49.43%    112.22s 12.84%  modernc.org/libc.Xfcntl
         0     0% 49.43%    112.21s 12.83%  golang.org/x/sys/unix.fcntl
         0     0% 49.43%    112.21s 12.83%  modernc.org/libc.Xfcntl64
     0.02s 0.0023% 49.43%    110.05s 12.59%  runtime.schedule
         0     0% 49.43%    109.95s 12.58%  runtime.mcall
     0.01s 0.0011% 49.43%    107.45s 12.29%  database/sql.(*DB).queryDC
         0     0% 49.43%    107.31s 12.27%  database/sql.(*DB).queryDC.func1
         0     0% 49.43%    107.27s 12.27%  database/sql.ctxDriverQuery
         0     0% 49.43%    107.16s 12.26%  github.com/domainry/domainry-foundation/telemetry.(*observedConn).QueryContext
         0     0% 49.43%    107.16s 12.26%  github.com/domainry/domainry-foundation/telemetry.(*observedConn).queryContext
         0     0% 49.43%    107.15s 12.26%  modernc.org/sqlite.(*conn).QueryContext
         0     0% 49.43%    107.15s 12.26%  modernc.org/sqlite.(*conn).query
         0     0% 49.43%    105.07s 12.02%  github.com/domainry/domainry-agent/internal/application.InvokeConversation
         0     0% 49.43%    103.21s 11.81%  github.com/domainry/domainry-agent/internal/transport/http/module.NewConversationAdapter.(*conversationAdapter).handle.func1
     0.01s 0.0011% 49.43%    102.65s 11.74%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).projectConversationDelegationContent
         0     0% 49.43%    101.66s 11.63%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).projectConversationDelegation
     0.03s 0.0034% 49.44%     99.78s 11.41%  runtime.park_m
         0     0% 49.44%     98.07s 11.22%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).collaborationAuthorization
     0.01s 0.0011% 49.44%     98.05s 11.22%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).AuthorizeConversationCollaboration
         0     0% 49.44%     97.44s 11.15%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).buildPrincipalForRole
         0     0% 49.44%     95.86s 10.96%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).authorizeCollaboration
         0     0% 49.44%     94.24s 10.78%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).registerModuleHTTPRoutes.(*HTTPRouter).moduleHTTPRouteHandler.func1
         0     0% 49.44%     89.49s 10.24%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withAdmission.func6
