File: c05-report-object-projection-runtime-race.test
Type: cpu
Time: 2026-09-14 17:45:54 CST
Duration: 563.87s, Total samples = 1049.33s (186.10%)
Showing nodes accounting for 921.80s, 87.85% of 1049.33s total
Dropped 2277 nodes (cum <= 5.25s)
      flat  flat%   sum%        cum   cum%
     0.05s 0.0048% 0.0048%    307.63s 29.32%  runtime.wakep
         0     0% 0.0048%    307.09s 29.27%  runtime.semawakeup
     0.02s 0.0019% 0.0067%    306.89s 29.25%  runtime.notewakeup
     0.07s 0.0067% 0.013%    306.88s 29.25%  runtime.startm
   306.71s 29.23% 29.24%    306.75s 29.23%  runtime.pthread_cond_signal
     0.03s 0.0029% 29.25%    293.52s 27.97%  runtime.systemstack
     0.11s  0.01% 29.26%    286.25s 27.28%  database/sql.withLock
     0.01s 0.00095% 29.26%    237.97s 22.68%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).principal
     0.03s 0.0029% 29.26%    237.94s 22.68%  github.com/domainry/domainry-identity-sdk/application.principals.Resolve
     0.01s 0.00095% 29.26%    237.91s 22.67%  github.com/domainry/domainry-identity/internal/adapter/identitysdk.sdkPrincipalResolver.Resolve
         0     0% 29.26%    209.63s 19.98%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).run
         0     0% 29.26%    197.81s 18.85%  runtime._System
     0.02s 0.0019% 29.26%    180.58s 17.21%  modernc.org/sqlite/lib.Xsqlite3_step
     0.04s 0.0038% 29.27%    176.90s 16.86%  modernc.org/sqlite.(*conn).step
         0     0% 29.27%    172.79s 16.47%  runtime.newproc.func1
         0     0% 29.27%    171.79s 16.37%  net/http.HandlerFunc.ServeHTTP
         0     0% 29.27%    166.58s 15.87%  net/http.(*ServeMux).ServeHTTP
         0     0% 29.27%    164.58s 15.68%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).worker
     0.02s 0.0019% 29.27%    161.79s 15.42%  database/sql.(*DB).queryDC
     0.01s 0.00095% 29.27%    161.60s 15.40%  database/sql.(*DB).queryDC.func1
         0     0% 29.27%    161.46s 15.39%  database/sql.ctxDriverQuery
         0     0% 29.27%    161.36s 15.38%  github.com/domainry/domainry-foundation/telemetry.(*observedConn).QueryContext
     0.02s 0.0019% 29.27%    161.36s 15.38%  github.com/domainry/domainry-foundation/telemetry.(*observedConn).queryContext
         0     0% 29.27%    161.25s 15.37%  modernc.org/sqlite.(*conn).QueryContext
         0     0% 29.27%    161.25s 15.37%  modernc.org/sqlite.(*conn).query
     0.05s 0.0048% 29.28%    159.73s 15.22%  modernc.org/sqlite/lib._sqlite3Step
     1.23s  0.12% 29.39%    159.42s 15.19%  modernc.org/sqlite/lib._sqlite3VdbeExec
         0     0% 29.39%    152.14s 14.50%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).record
         0     0% 29.39%    149.37s 14.23%  github.com/domainry/domainry-agent/internal/application.InvokeConversation
         0     0% 29.39%    149.22s 14.22%  syscall.syscalln
   149.19s 14.22% 43.61%    149.19s 14.22%  syscall.rawsyscalln
         0     0% 43.61%    147.11s 14.02%  github.com/domainry/domainry-agent/internal/transport/http/module.NewConversationAdapter.(*conversationAdapter).handle.func1
     0.01s 0.00095% 43.61%    143.78s 13.70%  runtime.schedule
         0     0% 43.61%    143.64s 13.69%  runtime.mcall
         0     0% 43.61%    138.01s 13.15%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).collaborationAuthorization
         0     0% 43.61%    137.99s 13.15%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).AuthorizeConversationCollaboration
         0     0% 43.61%    135.99s 12.96%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).registerModuleHTTPRoutes.(*HTTPRouter).moduleHTTPRouteHandler.func1
         0     0% 43.61%    135.33s 12.90%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).authorizeCollaboration
         0     0% 43.61%    133.82s 12.75%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).projectConversationDelegationContent
         0     0% 43.61%    133.23s 12.70%  syscall.syscall
         0     0% 43.61%    132.50s 12.63%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).projectConversationDelegation
         0     0% 43.61%    130.75s 12.46%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withAdmission.func6
     0.03s 0.0029% 43.61%    130.31s 12.42%  github.com/domainry/domainry-identity/internal/application/identity.(*IdentityEffectiveAccessApplicationService).snapshot
     0.01s 0.00095% 43.62%    128.24s 12.22%  runtime.park_m
     0.02s 0.0019% 43.62%    127.66s 12.17%  modernc.org/sqlite/lib._unixShmLock
     0.02s 0.0019% 43.62%    127.56s 12.16%  modernc.org/sqlite/lib._unixShmSystemLock
         0     0% 43.62%    127.50s 12.15%  modernc.org/libc.Xfcntl
         0     0% 43.62%    127.50s 12.15%  modernc.org/libc.Xfcntl64
         0     0% 43.62%    127.47s 12.15%  golang.org/x/sys/unix.fcntl
         0     0% 43.62%    117.62s 11.21%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withOperationalControls.func7
         0     0% 43.62%    116.60s 11.11%  github.com/domainry/domainry-identity/internal/application/identity.(*IdentityEffectiveAccessApplicationService).SnapshotForRole
     0.01s 0.00095% 43.62%    113.71s 10.84%  database/sql.(*Rows).Next
         0     0% 43.62%    111.54s 10.63%  github.com/domainry/domainry-identity/internal/application/identity.(*IdentityApplicationService).ResolvePrincipalForRole
     0.01s 0.00095% 43.62%    111.54s 10.63%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).BuildPrincipalForRole
         0     0% 43.62%    111.54s 10.63%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).ResolvePrincipalForRole
     0.01s 0.00095% 43.62%    111.03s 10.58%  database/sql.(*Rows).Next.func1
     0.09s 0.0086% 43.63%    111.02s 10.58%  database/sql.(*Rows).nextLocked
     0.25s 0.024% 43.65%    110.84s 10.56%  modernc.org/sqlite.(*rows).Next
         0     0% 43.65%    109.84s 10.47%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).ConversationDelegation
         0     0% 43.65%    105.14s 10.02%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).publishedReferenceContext
         0     0% 43.65%    104.59s  9.97%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withBusinessEventPublication.func8
     0.09s 0.0086% 43.66%    103.54s  9.87%  runtime.findRunnable
     0.01s 0.00095% 43.66%    101.93s  9.71%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).publishedSourceContext
     0.04s 0.0038% 43.67%    101.52s  9.67%  modernc.org/sqlite/lib._sqlite3Prepare
     0.30s 0.029% 43.70%    100.69s  9.60%  modernc.org/sqlite/lib._sqlite3RunParser
     0.02s 0.0019% 43.70%    100.42s  9.57%  modernc.org/sqlite/lib._sqlite3LockAndPrepare
         0     0% 43.70%    100.31s  9.56%  database/sql.(*DB).retry
     0.47s 0.045% 43.74%     98.11s  9.35%  modernc.org/sqlite/lib._sqlite3Parser
         0     0% 43.74%     97.84s  9.32%  database/sql.(*DB).QueryContext
         0     0% 43.74%     97.83s  9.32%  database/sql.(*DB).QueryContext.func1
         0     0% 43.74%     97.83s  9.32%  database/sql.(*DB).query
         0     0% 43.74%     97.47s  9.29%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).execute
     0.01s 0.00095% 43.74%     97.43s  9.28%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).sourceReleaseContext
     0.96s 0.091% 43.84%     94.83s  9.04%  modernc.org/sqlite/lib._yy_reduce
         0     0% 43.84%     92.93s  8.86%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withHighRiskOperationPolicy.func9
     0.01s 0.00095% 43.84%     92.40s  8.81%  runtime.ready
         0     0% 43.84%     91.63s  8.73%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).Run
     0.03s 0.0029% 43.84%     91.54s  8.72%  modernc.org/sqlite/lib._sqlite3VdbeHalt
         0     0% 43.84%     91.37s  8.71%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).projectConversationRun
         0     0% 43.84%     89.92s  8.57%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).generateConversationExecution
