File: c05-schema-and-assessment-compaction-final-race.test
Type: cpu
Time: 2026-09-14 20:22:13 CST
Duration: 184.90s, Total samples = 326.16s (176.40%)
Showing nodes accounting for 287.91s, 88.27% of 326.16s total
Dropped 1867 nodes (cum <= 1.63s)
      flat  flat%   sum%        cum   cum%
         0     0%     0%     95.46s 29.27%  runtime._System
         0     0%     0%     64.91s 19.90%  runtime.systemstack
     0.03s 0.0092% 0.0092%     59.56s 18.26%  database/sql.withLock
         0     0% 0.0092%     57.82s 17.73%  runtime.wakep
         0     0% 0.0092%     57.58s 17.65%  runtime.semawakeup
    57.51s 17.63% 17.64%     57.51s 17.63%  runtime.pthread_cond_signal
         0     0% 17.64%     57.47s 17.62%  runtime.notewakeup
     0.01s 0.0031% 17.64%     57.47s 17.62%  runtime.startm
         0     0% 17.64%     52.84s 16.20%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).run
         0     0% 17.64%     52.79s 16.19%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).worker
         0     0% 17.64%     52.40s 16.07%  net/http.HandlerFunc.ServeHTTP
     0.02s 0.0061% 17.65%     47.93s 14.70%  encoding/json.Marshal
     0.23s 0.071% 17.72%     47.64s 14.61%  encoding/json.(*encodeState).reflectValue
         0     0% 17.72%     47.61s 14.60%  encoding/json.(*encodeState).marshal
     0.08s 0.025% 17.75%     46.74s 14.33%  encoding/json.arrayEncoder.encode
     0.02s 0.0061% 17.75%     46.74s 14.33%  encoding/json.sliceEncoder.encode
         0     0% 17.75%     46.65s 14.30%  net/http.(*ServeMux).ServeHTTP
     1.74s  0.53% 18.29%     46.38s 14.22%  encoding/json.structEncoder.encode
     0.01s 0.0031% 18.29%     45.78s 14.04%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).record
         0     0% 18.29%     42.56s 13.05%  github.com/domainry/domainry-runtime/runtime/application/appschema.(*ApplicationSchemaQueryApplicationService).ForPrincipal
         0     0% 18.29%     42.56s 13.05%  github.com/domainry/domainry-runtime/runtime/bootstrap/composition.(*RecordSchemaSnapshotProvider).SchemaForPrincipal
         0     0% 18.29%     42.54s 13.04%  github.com/domainry/domainry-runtime/runtime/domain/appschema/service.SnapshotForPrincipal
         0     0% 18.29%     42.17s 12.93%  github.com/domainry/domainry-runtime/runtime/domain/appschema/service.SchemaSnapshotHash
     0.01s 0.0031% 18.29%     41.02s 12.58%  modernc.org/sqlite/lib.Xsqlite3_step
         0     0% 18.29%     40.71s 12.48%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).RevalidateBusiness
     0.01s 0.0031% 18.29%     39.89s 12.23%  github.com/domainry/domainry-agent/internal/application.InvokeConversation
     0.01s 0.0031% 18.30%     39.84s 12.21%  modernc.org/sqlite.(*conn).step
     0.01s 0.0031% 18.30%     39.82s 12.21%  github.com/domainry/domainry-agent/internal/transport/http/module.NewConversationAdapter.(*conversationAdapter).handle.func1
         0     0% 18.30%     39.39s 12.08%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).registerModuleHTTPRoutes.(*HTTPRouter).moduleHTTPRouteHandler.func1
         0     0% 18.30%     38.38s 11.77%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withAdmission.func6
         0     0% 18.30%     37.87s 11.61%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).revalidateBusinessSnapshot
         0     0% 18.30%     37.17s 11.40%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withOperationalControls.func7
         0     0% 18.30%     36.08s 11.06%  database/sql.(*DB).queryDC
         0     0% 18.30%     35.99s 11.03%  database/sql.(*DB).queryDC.func1
         0     0% 18.30%     35.94s 11.02%  database/sql.ctxDriverQuery
         0     0% 18.30%     35.94s 11.02%  github.com/domainry/domainry-foundation/telemetry.(*observedConn).QueryContext
         0     0% 18.30%     35.94s 11.02%  github.com/domainry/domainry-foundation/telemetry.(*observedConn).queryContext
         0     0% 18.30%     35.87s 11.00%  modernc.org/sqlite.(*conn).QueryContext
         0     0% 18.30%     35.87s 11.00%  modernc.org/sqlite.(*conn).query
         0     0% 18.30%     35.74s 10.96%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withBusinessEventPublication.func8
     0.01s 0.0031% 18.30%     35.69s 10.94%  modernc.org/sqlite/lib._sqlite3Step
     0.24s 0.074% 18.38%     35.63s 10.92%  modernc.org/sqlite/lib._sqlite3VdbeExec
         0     0% 18.38%     35.19s 10.79%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).execute
     0.01s 0.0031% 18.38%     34.59s 10.61%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).objects
     0.01s 0.0031% 18.38%     34.58s 10.60%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).projectConversationDelegationContent
         0     0% 18.38%     34.55s 10.59%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).projectConversationDelegation
         0     0% 18.38%     34.12s 10.46%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withHighRiskOperationPolicy.func9
         0     0% 18.38%     33.82s 10.37%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).generateConversationExecution
     0.01s 0.0031% 18.39%     33.32s 10.22%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).principal
         0     0% 18.39%     33.31s 10.21%  github.com/domainry/domainry-identity-sdk/application.principals.Resolve
         0     0% 18.39%     33.31s 10.21%  github.com/domainry/domainry-identity/internal/adapter/identitysdk.sdkPrincipalResolver.Resolve
         0     0% 18.39%     32.84s 10.07%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withActionAuthorization.func10.1
         0     0% 18.39%     32.67s 10.02%  runtime.newproc.func1
         0     0% 18.39%     32.11s  9.84%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withActionAuthorization.func10
         0     0% 18.39%     31.82s  9.76%  syscall.syscalln
    31.79s  9.75% 28.13%     31.79s  9.75%  syscall.rawsyscalln
         0     0% 28.13%     31.06s  9.52%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withAuth.func11.1
         0     0% 28.13%     30.71s  9.42%  github.com/domainry/domainry-identity/internal/application/identity.(*IdentityEffectiveAccessApplicationService).ResolvePrincipalAccess
         0     0% 28.13%     29.31s  8.99%  github.com/domainry/domainry-identity-sdk/httpmiddleware.(*Middleware).RequirePasswordChanged.func1
         0     0% 28.13%     29.08s  8.92%  github.com/domainry/domainry-identity-sdk/httpmiddleware.(*Middleware).Authenticate.func1
         0     0% 28.13%     28.15s  8.63%  syscall.syscall
     1.60s  0.49% 28.62%     28.04s  8.60%  encoding/json.mapEncoder.encode
         0     0% 28.62%     27.98s  8.58%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).authorizeStoredToolResult
         0     0% 28.62%     27.95s  8.57%  github.com/domainry/domainry-agent/internal/application.(*assemblyConfirmationHost).AuthorizeConversationToolResult
         0     0% 28.62%     27.95s  8.57%  github.com/domainry/domainry-agent/internal/application.(*collaborationToolHost).AuthorizeConversationToolResult
         0     0% 28.62%     27.95s  8.57%  github.com/domainry/domainry-agent/internal/application.(*extensionInteractionHost).AuthorizeConversationToolResult
         0     0% 28.62%     27.95s  8.57%  github.com/domainry/domainry-tools/internal/application/tool.(*Combined).AuthorizeConversationToolResult
         0     0% 28.62%     27.79s  8.52%  github.com/domainry/domainry-agent/internal/application.(*businessConversationHost).AuthorizeConversationToolResult
         0     0% 28.62%     27.50s  8.43%  runtime.schedule
         0     0% 28.62%     27.26s  8.36%  runtime.mcall
     0.01s 0.0031% 28.63%     26.16s  8.02%  modernc.org/sqlite/lib._unixShmLock
         0     0% 28.63%     26.13s  8.01%  modernc.org/sqlite/lib._unixShmSystemLock
         0     0% 28.63%     26.12s  8.01%  golang.org/x/sys/unix.fcntl
         0     0% 28.63%     26.12s  8.01%  modernc.org/libc.Xfcntl
         0     0% 28.63%     26.12s  8.01%  modernc.org/libc.Xfcntl64
    24.71s  7.58% 36.20%     24.71s  7.58%  __tsan::MemoryAccessRangeT
         0     0% 36.20%     24.61s  7.55%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withAuth.func11
     0.01s 0.0031% 36.21%     24.52s  7.52%  runtime.park_m
         0     0% 36.21%     22.82s  7.00%  modernc.org/sqlite.(*stmt).query
         0     0% 36.21%     22.59s  6.93%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).Run
         0     0% 36.21%     22.44s  6.88%  database/sql.(*DB).retry
         0     0% 36.21%     21.84s  6.70%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).projectConversationRun
         0     0% 36.21%     21.63s  6.63%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).object
     0.01s 0.0031% 36.21%     21.04s  6.45%  modernc.org/sqlite/lib._sqlite3Prepare
     0.07s 0.021% 36.23%     20.94s  6.42%  modernc.org/sqlite/lib._sqlite3RunParser
     0.03s 0.0092% 36.24%     20.76s  6.36%  runtime.findRunnable
    20.47s  6.28% 42.52%     20.47s  6.28%  __tsan_read
     0.16s 0.049% 42.56%     20.23s  6.20%  modernc.org/sqlite/lib._sqlite3Parser
    19.99s  6.13% 48.69%     19.99s  6.13%  __tsan::MemoryRangeSet
     0.01s 0.0031% 48.70%     19.46s  5.97%  database/sql.(*DB).QueryContext
         0     0% 48.70%     19.45s  5.96%  database/sql.(*DB).QueryContext.func1
         0     0% 48.70%     19.45s  5.96%  database/sql.(*DB).query
         0     0% 48.70%     19.33s  5.93%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).ConversationDelegation
     9.44s  2.89% 51.59%     19.33s  5.93%  runtime.checkptrBase
     0.28s 0.086% 51.68%     19.29s  5.91%  modernc.org/sqlite/lib._yy_reduce
         0     0% 51.68%     19.14s  5.87%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withRuntimeAuthoringScenarioEvidence.func12
         0     0% 51.68%     19.05s  5.84%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).buildPrincipalForRole
     2.11s  0.65% 52.32%     18.85s  5.78%  runtime.checkptrAlignment
     0.01s 0.0031% 52.33%     18.54s  5.68%  modernc.org/sqlite/lib._sqlite3LockAndPrepare
         0     0% 52.33%     18.32s  5.62%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).executeConversationTool
     0.01s 0.0031% 52.33%     18.20s  5.58%  github.com/domainry/domainry-agent/internal/infrastructure/persistence/database/agent.(*ConversationStore).transaction
         0     0% 52.33%     17.87s  5.48%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).deliveryBusinessToolResult
         0     0% 52.33%     17.70s  5.43%  testing.tRunner
         0     0% 52.33%     17.36s  5.32%  github.com/domainry/domainry-agent-sdk.AuthorizeSharedBusinessResultRead
         0     0% 52.33%     17.35s  5.32%  github.com/domainry/domainry-agent/internal/infrastructure/persistence/database/agent.(*ConversationStore).Claim
     2.18s  0.67% 53.00%     16.77s  5.14%  runtime.checkptrStraddles
         0     0% 53.00%     16.67s  5.11%  database/sql.(*Tx).QueryContext
     0.01s 0.0031% 53.00%     16.11s  4.94%  github.com/domainry/domainry-agent/internal/infrastructure/persistence/database/agent.(*ConversationStore).Claim.func1
