/tmp/c05-schema-projection-singleflight-final-race.test: stat /tmp/c05-schema-projection-singleflight-final-race.test: no such file or directory
Fetched 1 source profiles out of 2
Local symbolization failed for integrationtest.test: open /private/var/folders/5w/z9d657ts32zg837n0bvff0yh0000gn/T/go-build26273901/b001/integrationtest.test: no such file or directory
Some binary filenames not available. Symbolization may be incomplete.
Try setting PPROF_BINARY_PATH to the search path for local binaries.
File: integrationtest.test
Type: cpu
Time: 2026-09-14 20:31:18 CST
Duration: 292.45s, Total samples = 464.08s (158.69%)
Showing nodes accounting for 351.53s, 75.75% of 464.08s total
Dropped 2485 nodes (cum <= 2.32s)
Showing top 200 nodes out of 408
      flat  flat%   sum%        cum   cum%
     0.03s 0.0065% 0.0065%    134.46s 28.97%  database/sql.withLock
     0.01s 0.0022% 0.0086%    124.44s 26.81%  runtime.wakep
         0     0% 0.0086%    124.29s 26.78%  runtime.semawakeup
   124.15s 26.75% 26.76%    124.18s 26.76%  runtime.pthread_cond_signal
         0     0% 26.76%    124.14s 26.75%  runtime.notewakeup
         0     0% 26.76%    124.12s 26.75%  runtime.startm
     0.02s 0.0043% 26.76%    118.26s 25.48%  runtime.systemstack
     0.02s 0.0043% 26.77%     94.96s 20.46%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).principal
     0.01s 0.0022% 26.77%     94.93s 20.46%  github.com/domainry/domainry-identity-sdk/application.principals.Resolve
     0.02s 0.0043% 26.78%     94.92s 20.45%  github.com/domainry/domainry-identity/internal/adapter/identitysdk.sdkPrincipalResolver.Resolve
         0     0% 26.78%     93.05s 20.05%  net/http.HandlerFunc.ServeHTTP
         0     0% 26.78%     89.59s 19.30%  net/http.(*ServeMux).ServeHTTP
         0     0% 26.78%     89.28s 19.24%  runtime._System
         0     0% 26.78%     88.70s 19.11%  github.com/domainry/domainry-identity/internal/application/identity.(*IdentityEffectiveAccessApplicationService).ResolvePrincipalAccess
     0.01s 0.0022% 26.78%     85.06s 18.33%  modernc.org/sqlite/lib.Xsqlite3_step
     0.01s 0.0022% 26.78%     83.22s 17.93%  modernc.org/sqlite.(*conn).step
         0     0% 26.78%     80.97s 17.45%  database/sql.(*DB).queryDC
     0.01s 0.0022% 26.78%     80.90s 17.43%  database/sql.(*DB).queryDC.func1
     0.01s 0.0022% 26.78%     80.84s 17.42%  database/sql.ctxDriverQuery
     0.01s 0.0022% 26.79%     80.83s 17.42%  github.com/domainry/domainry-foundation/telemetry.(*observedConn).QueryContext
     0.01s 0.0022% 26.79%     80.82s 17.42%  github.com/domainry/domainry-foundation/telemetry.(*observedConn).queryContext
         0     0% 26.79%     80.71s 17.39%  modernc.org/sqlite.(*conn).QueryContext
         0     0% 26.79%     80.71s 17.39%  modernc.org/sqlite.(*conn).query
         0     0% 26.79%     80.41s 17.33%  github.com/domainry/domainry-agent/internal/application.InvokeConversation
         0     0% 26.79%     80.32s 17.31%  github.com/domainry/domainry-agent/internal/transport/http/module.NewConversationAdapter.(*conversationAdapter).handle.func1
         0     0% 26.79%     79.04s 17.03%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).registerModuleHTTPRoutes.(*HTTPRouter).moduleHTTPRouteHandler.func1
         0     0% 26.79%     74.97s 16.15%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withAdmission.func6
         0     0% 26.79%     71.37s 15.38%  runtime.newproc.func1
     0.02s 0.0043% 26.79%     70.08s 15.10%  modernc.org/sqlite/lib._sqlite3Step
     0.61s  0.13% 26.92%     69.92s 15.07%  modernc.org/sqlite/lib._sqlite3VdbeExec
         0     0% 26.92%     69.84s 15.05%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withOperationalControls.func7
         0     0% 26.92%     67.89s 14.63%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).run
         0     0% 26.92%     64.38s 13.87%  runtime.schedule
         0     0% 26.92%     64.31s 13.86%  runtime.mcall
         0     0% 26.92%     62.40s 13.45%  syscall.syscalln
    62.39s 13.44% 40.37%     62.39s 13.44%  syscall.rawsyscalln
     0.01s 0.0022% 40.37%     62.14s 13.39%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).record
         0     0% 40.37%     61.74s 13.30%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withBusinessEventPublication.func8
         0     0% 40.37%     60.94s 13.13%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).worker
         0     0% 40.37%     58.78s 12.67%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).buildPrincipalForRole
         0     0% 40.37%     57.91s 12.48%  runtime.park_m
         0     0% 40.37%     56.50s 12.17%  syscall.syscall
     0.04s 0.0086% 40.38%     53.94s 11.62%  modernc.org/sqlite/lib._sqlite3Prepare
     0.15s 0.032% 40.41%     53.61s 11.55%  modernc.org/sqlite/lib._sqlite3RunParser
     0.01s 0.0022% 40.41%     52.74s 11.36%  modernc.org/sqlite/lib._sqlite3OsShmLock (inline)
         0     0% 40.41%     52.73s 11.36%  modernc.org/sqlite/lib._unixShmLock
         0     0% 40.41%     52.70s 11.36%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withHighRiskOperationPolicy.func9
         0     0% 40.41%     52.69s 11.35%  modernc.org/libc.Xfcntl
         0     0% 40.41%     52.69s 11.35%  modernc.org/sqlite/lib._unixShmSystemLock
         0     0% 40.41%     52.68s 11.35%  golang.org/x/sys/unix.FcntlFlock (inline)
         0     0% 40.41%     52.68s 11.35%  golang.org/x/sys/unix.fcntl
         0     0% 40.41%     52.68s 11.35%  modernc.org/libc.Xfcntl64
     0.26s 0.056% 40.47%     51.82s 11.17%  modernc.org/sqlite/lib._sqlite3Parser
         0     0% 40.47%     51.36s 11.07%  modernc.org/sqlite/lib._sqlite3LockAndPrepare
     0.62s  0.13% 40.60%     50.04s 10.78%  modernc.org/sqlite/lib._yy_reduce
     0.01s 0.0022% 40.61%     49.70s 10.71%  database/sql.(*DB).retry
         0     0% 40.61%     48.55s 10.46%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).deliveryBusinessToolResult
     0.01s 0.0022% 40.61%     47.78s 10.30%  runtime.findRunnable
     0.01s 0.0022% 40.61%     46.15s  9.94%  database/sql.(*DB).QueryContext
         0     0% 40.61%     46.14s  9.94%  database/sql.(*DB).QueryContext.func1
         0     0% 40.61%     46.14s  9.94%  database/sql.(*DB).query
         0     0% 40.61%     44.89s  9.67%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withActionAuthorization.func10.1
     0.01s 0.0022% 40.61%     44.47s  9.58%  modernc.org/sqlite.(*stmt).query
         0     0% 40.61%     42.51s  9.16%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withActionAuthorization.func10
     0.02s 0.0043% 40.62%     42.09s  9.07%  database/sql.(*Rows).Next
     0.02s 0.0043% 40.62%     41.33s  8.91%  database/sql.(*Rows).Next.func1
     0.05s 0.011% 40.63%     41.30s  8.90%  database/sql.(*Rows).nextLocked
     0.07s 0.015% 40.65%     41.22s  8.88%  modernc.org/sqlite.(*rows).Next
     0.02s 0.0043% 40.65%     39.32s  8.47%  modernc.org/sqlite/lib._sqlite3Select
         0     0% 40.65%     39.29s  8.47%  github.com/domainry/domainry-agent-sdk.AuthorizeSharedBusinessResultRead
         0     0% 40.65%     39.12s  8.43%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withAuth.func11.1
         0     0% 40.65%     37.73s  8.13%  github.com/domainry/domainry-agent/internal/infrastructure/persistence/database/agent.(*ConversationStore).transaction
         0     0% 40.65%     37.71s  8.13%  github.com/domainry/domainry-identity-sdk/httpmiddleware.(*Middleware).Authenticate.func1
    18.59s  4.01% 44.66%     37.59s  8.10%  runtime.checkptrBase
         0     0% 44.66%     36.80s  7.93%  modernc.org/sqlite/lib.Xsqlite3_prepare_v2 (inline)
     0.01s 0.0022% 44.66%     36.70s  7.91%  modernc.org/sqlite.newStmt
         0     0% 44.66%     36.57s  7.88%  modernc.org/sqlite.(*conn).prepareV2
